"id"	"num"	"neg.score"	"neg.p.value"	"neg.fdr"	"neg.rank"	"neg.goodsgrna"	"neg.lfc"	"pos.score"	"pos.p.value"	"pos.fdr"	"pos.rank"	"pos.goodsgrna"	"pos.lfc"
"115"	"C10orf91"	4	0.00048015	0.0017353	0.270101	115	1	-0.10587	0.53021	0.53806	1	8783	1	-0.10587
"116"	"ACAT2"	3	0.00051272	0.0015138	0.25018	116	3	-1.0187	0.99949	0.99948	1	17987	0	-1.0187
"117"	"RNGTT"	4	0.00052245	0.0018834	0.289993	117	3	-0.39649	0.99166	0.99179	1	17751	0	-0.39649
"118"	"KRTAP4-12"	4	0.00053296	0.0019202	0.289993	118	3	-0.89661	0.99731	0.99734	1	17893	0	-0.89661
"119"	"COMMD4"	4	0.00053358	0.0019229	0.289993	119	3	-0.66385	0.50816	0.52001	1	8423	1	-0.66385
"120"	"FGFR1"	4	0.00053663	0.0019311	0.289993	120	2	-0.27083	0.93821	0.93808	1	16521	0	-0.27083
"121"	"BLM"	4	0.00054087	0.0019435	0.289993	121	2	-0.26782	0.71582	0.71513	1	12085	0	-0.26782
"122"	"GTF2E1"	4	0.00055143	0.0019881	0.29423	122	3	-0.33186	0.76375	0.76328	1	13010	0	-0.33186
"123"	"GINM1"	4	0.00059311	0.0021494	0.315504	123	2	-0.19332	0.95702	0.95691	1	16965	0	-0.19332
"124"	"NOA1"	4	0.00061867	0.0022453	0.326851	124	3	-0.40484	0.24541	0.34033	1	5226	1	-0.40484
"125"	"B3GNT8"	4	0.0006253	0.0022689	0.326851	125	4	-0.40533	0.99937	0.99939	1	17985	0	-0.40533
"126"	"ZCCHC13"	4	0.00063002	0.002281	0.326851	126	3	-0.5446	0.70528	0.70452	1	11895	0	-0.5446
"127"	"GEMIN7"	4	0.00064428	0.0023375	0.329943	127	4	-0.28416	0.99936	0.99937	1	17984	0	-0.28416
"128"	"TLR1"	4	0.00064474	0.0023391	0.329943	128	4	-0.32211	0.99936	0.99937	1	17983	0	-0.32211
"129"	"UCN2"	4	0.00065208	0.0023665	0.331223	129	4	-0.3078	0.99935	0.99937	1	17982	0	-0.3078
"130"	"ZNF341"	4	0.0006784	0.0024702	0.343069	130	3	-0.4657	0.85684	0.85636	1	14833	0	-0.4657
"131"	"GPR153"	4	0.00068353	0.002491	0.343323	131	4	-0.42971	0.99932	0.99933	1	17981	0	-0.42971
"132"	"MAEA"	4	0.00069483	0.0025343	0.344958	132	4	-0.3853	0.99931	0.99932	1	17980	0	-0.3853
"133"	"SFTPD"	4	0.00069775	0.0025448	0.344958	133	3	-0.42907	0.52751	0.53585	1	8734	1	-0.42907
"134"	"SLFN12"	4	0.00070605	0.0025733	0.344958	134	1	-0.060569	0.43843	0.46662	1	7431	1	-0.060569
"135"	"ANP32E"	4	0.00070822	0.0025793	0.344958	135	4	-0.36177	0.99929	0.9993	1	17978	0	-0.36177
"136"	"TTC26"	4	0.00071511	0.0026007	0.345261	136	4	-0.3268	0.99928	0.99929	1	17977	0	-0.3268
"137"	"PHF17"	4	0.00073837	0.002684	0.349562	137	4	-0.29234	0.99926	0.99927	1	17976	0	-0.29234
"138"	"PTPRG"	4	0.00073989	0.002689	0.349562	138	4	-0.37183	0.99926	0.99926	1	17975	0	-0.37183
"139"	"OR9K2"	4	0.0007404	0.0026912	0.349562	139	4	-0.19947	0.99926	0.99926	1	17974	0	-0.19947
"140"	"CCDC150"	4	0.00075573	0.0027339	0.350474	140	4	-0.42079	0.99924	0.99925	1	17973	0	-0.42079
"141"	"GATAD2B"	4	0.0007565	0.0027389	0.350474	141	4	-0.22068	0.99924	0.99925	1	17972	0	-0.22068
"142"	"RNMTL1"	4	0.00076252	0.0027564	0.350474	142	1	0.19637	0.085563	0.15399	1	2463	2	0.19637
"143"	"GGT6"	4	0.00077629	0.0028074	0.354462	143	3	-0.64902	0.87517	0.87468	1	15195	0	-0.64902
"144"	"EDC3"	4	0.000782	0.0028288	0.354682	144	3	-0.5759	0.38018	0.42535	1	6694	1	-0.5759
"145"	"CCL14"	4	0.00079936	0.0029001	0.357987	145	3	-0.4405	0.97206	0.97201	1	17290	0	-0.4405
"146"	"FAIM"	4	0.00080613	0.0029242	0.357987	146	4	-0.3065	0.99919	0.99919	1	17970	0	-0.3065
"147"	"PCDHB8"	4	0.0008089	0.0029308	0.357987	147	3	-0.48387	0.93706	0.9369	1	16496	0	-0.48387
"148"	"KRT37"	4	0.00081278	0.0029484	0.357987	148	3	-0.46577	0.95547	0.95531	1	16936	0	-0.46577
"149"	"GDF10"	4	0.00081536	0.0029588	0.357987	149	4	-0.33002	0.99918	0.99917	1	17968	0	-0.33002
"150"	"TAS2R60"	4	0.00081898	0.0029741	0.357987	150	1	-0.082332	0.93257	0.93226	1	16395	0	-0.082332
"151"	"PRH2"	4	0.00085743	0.0031107	0.371943	151	3	-0.77231	0.98483	0.9849	1	17609	0	-0.77231
"152"	"PFKFB1"	4	0.00087544	0.0031814	0.377899	152	2	-0.14834	0.47489	0.49394	1	7945	1	-0.14834
"153"	"PYY"	4	0.00088417	0.0032072	0.37847	153	3	-0.37069	0.99197	0.99209	1	17757	0	-0.37069
"154"	"RASSF1"	4	0.00090616	0.0032895	0.381065	154	4	-0.23566	0.99909	0.99908	1	17967	0	-0.23566
"155"	"MPEG1"	4	0.00091386	0.0033147	0.381065	155	4	-0.28061	0.99909	0.99907	1	17966	0	-0.28061
"156"	"IP6K2"	4	0.00091832	0.0033363	0.381065	156	4	-0.40406	0.99908	0.99907	1	17965	0	-0.40406
"157"	"LMOD2"	4	0.00092251	0.0033558	0.381065	157	3	-0.42315	0.89262	0.89221	1	15568	0	-0.42315
"158"	"RING1"	4	0.00092519	0.0033662	0.381065	158	4	-0.21805	0.99907	0.99906	1	17964	0	-0.21805
"159"	"CREBRF"	4	0.0009309	0.0033854	0.381065	159	4	-0.22325	0.99907	0.99905	1	17963	0	-0.22325
"160"	"BLOC1S5"	4	0.00093548	0.003398	0.381065	160	2	-0.34809	0.66074	0.66006	1	11054	0	-0.34809
"161"	"LYRM5"	4	0.00094513	0.0034315	0.382441	161	4	-0.39063	0.99905	0.99904	1	17962	0	-0.39063
"162"	"SIK3"	4	0.00098607	0.0035576	0.390309	162	3	-0.40438	0.48458	0.50146	1	8074	1	-0.40438
"163"	"MAGEC2"	4	0.00098836	0.0035669	0.390309	163	1	-0.012191	0.373	0.42046	1	6605	1	-0.012191
"164"	"S100A10"	4	0.0010044	0.0036267	0.394459	164	3	-0.86172	0.99735	0.99738	1	17895	0	-0.86172
"165"	"ATRIP"	4	0.0010175	0.0036739	0.395715	165	3	-0.34709	0.99793	0.99797	1	17920	0	-0.34709
"166"	"ASPM"	4	0.0010205	0.0036821	0.395715	166	2	-0.36568	0.98117	0.98124	1	17522	0	-0.36568
"167"	"RBM3"	4	0.0010327	0.0037304	0.396705	167	3	-0.37064	0.93008	0.92981	1	16338	0	-0.37064
"168"	"SLC5A6"	4	0.0010394	0.0037539	0.396705	168	3	-0.52165	0.99625	0.99633	1	17856	0	-0.52165
"169"	"RHCG"	4	0.0010402	0.0037572	0.396705	169	3	-0.42785	0.99273	0.99284	1	17772	0	-0.42785
"170"	"CREBL2"	4	0.0010902	0.0039415	0.413537	170	3	-0.48154	0.87915	0.87863	1	15285	0	-0.48154
"171"	"KCNH5"	4	0.0010976	0.0039711	0.413537	171	4	-0.29143	0.9989	0.99889	1	17961	0	-0.29143
"172"	"WFDC10B"	4	0.0011013	0.0039853	0.413537	172	2	-0.15428	0.98863	0.98876	1	17691	0	-0.15428
"173"	"TRDMT1"	4	0.0011093	0.0040106	0.413777	173	4	-0.38593	0.99889	0.99888	1	17960	0	-0.38593
"174"	"POLH"	4	0.0011272	0.0040731	0.414044	174	4	-0.38022	0.99887	0.99886	1	17959	0	-0.38022
"175"	"AGXT2"	4	0.0011311	0.0040802	0.414044	175	4	-0.3071	0.99887	0.99886	1	17958	0	-0.3071
"176"	"UBR2"	4	0.0011334	0.0040884	0.414044	176	3	-0.3307	0.92486	0.92464	1	16226	0	-0.3307
"177"	"CNOT10"	4	0.0011377	0.0041049	0.414044	177	4	-0.52822	0.99886	0.99885	1	17957	0	-0.52822
"178"	"CD79A"	4	0.0011479	0.0041389	0.415154	178	4	-0.33548	0.99885	0.99884	1	17956	0	-0.33548
"179"	"ZDHHC23"	4	0.001176	0.0042491	0.423594	179	4	-0.2891	0.99882	0.99881	1	17955	0	-0.2891
"180"	"DLG5"	4	0.0011828	0.00427	0.423594	180	2	-0.36217	0.9356	0.93539	1	16464	0	-0.36217
"181"	"MFSD6"	4	0.0012003	0.004333	0.426899	181	3	-0.3222	0.99336	0.99347	1	17788	0	-0.3222
"182"	"KRT18"	4	0.00122	0.0044073	0.429475	182	4	-0.26326	0.99878	0.99877	1	17953	0	-0.26326
"183"	"PITPNM3"	4	0.0012252	0.0044284	0.429475	183	4	-0.27627	0.99877	0.99877	1	17952	0	-0.27627
"184"	"NAGLU"	4	0.0012299	0.0044482	0.429475	184	2	-0.33313	0.70128	0.70048	1	11821	0	-0.33313
"185"	"GOLM1"	4	0.0012577	0.0045474	0.429975	185	4	-0.33793	0.99874	0.99873	1	17951	0	-0.33793
"186"	"ZSCAN9"	4	0.0012595	0.0045535	0.429975	186	4	-0.22461	0.99874	0.99873	1	17950	0	-0.22461
"187"	"ARID2"	4	0.0012622	0.0045677	0.429975	187	3	-0.37232	0.98089	0.98096	1	17512	0	-0.37232
"188"	"SLC6A3"	4	0.0012652	0.0045792	0.429975	188	4	-0.26567	0.99873	0.99873	1	17949	0	-0.26567
"189"	"CLMP"	4	0.0012706	0.0045962	0.429975	189	2	-0.20074	0.71808	0.71741	1	12129	0	-0.20074
"190"	"CENPB"	4	0.0012805	0.004627	0.430617	190	3	-0.39515	0.99708	0.99712	1	17882	0	-0.39515
"191"	"C9orf3"	4	0.0012897	0.0046588	0.431353	191	3	-0.44695	0.88348	0.883	1	15381	0	-0.44695
"192"	"CXXC4"	4	0.0013117	0.0047377	0.435126	192	4	-0.31266	0.99869	0.9987	1	17948	0	-0.31266
"193"	"ACRC"	4	0.001323	0.0047838	0.435126	193	4	-0.22953	0.99868	0.99869	1	17947	0	-0.22953
"194"	"ABTB2"	4	0.0013271	0.0047964	0.435126	194	1	-0.0074675	0.46718	0.48803	1	7835	1	-0.0074675
"195"	"CHTF18"	4	0.0013285	0.0047991	0.435126	195	3	-0.40786	0.84971	0.8491	1	14693	0	-0.40786
"196"	"MKRN3"	4	0.0013388	0.0048282	0.435126	196	4	-0.30476	0.99866	0.99868	1	17946	0	-0.30476
"197"	"KIF2C"	4	0.0013435	0.0048441	0.435126	197	4	-0.24096	0.99866	0.99867	1	17944	0	-0.24096
"198"	"CCDC39"	4	0.0013663	0.0049286	0.439145	198	4	-0.45185	0.99863	0.99865	1	17943	0	-0.45185
"199"	"TRIM66"	4	0.0013784	0.0049631	0.439145	199	3	-0.51772	0.98331	0.98339	1	17568	0	-0.51772
"200"	"CORO6"	4	0.00138	0.004973	0.439145	200	4	-0.29469	0.99862	0.99863	1	17942	0	-0.29469
"201"	"KIAA0556"	4	0.0013835	0.0049861	0.439145	201	1	-0.043996	0.67451	0.6738	1	11311	0	-0.043996
"202"	"MSMB"	4	0.001402	0.0050492	0.441094	202	3	-0.63267	0.75002	0.74958	1	12760	0	-0.63267
"203"	"SLC24A1"	4	0.0014097	0.0050761	0.441094	203	2	-0.2687	0.756	0.75555	1	12861	0	-0.2687
"204"	"KRT9"	4	0.0014108	0.0050816	0.441094	204	3	-0.38706	0.93097	0.93068	1	16356	0	-0.38706
"205"	"UTY"	4	0.0014436	0.0052066	0.449784	205	3	-0.37502	0.79317	0.79275	1	13554	0	-0.37502
"206"	"CCDC147"	4	0.0014699	0.0053086	0.456412	206	4	-0.20308	0.99853	0.99855	1	17941	0	-0.20308
"207"	"KLF17"	4	0.0014822	0.0053459	0.45744	207	4	-0.63293	0.99852	0.99854	1	17940	0	-0.63293
"208"	"COMMD9"	4	0.0014955	0.0053985	0.458025	208	4	-0.23852	0.9985	0.99853	1	17939	0	-0.23852
"209"	"ZNF644"	4	0.0014964	0.0054035	0.458025	209	1	-0.036524	0.72008	0.71944	1	12167	0	-0.036524
"210"	"TPRKB"	4	0.0015031	0.0054314	0.458245	210	3	-0.37054	0.94265	0.9425	1	16626	0	-0.37054
"211"	"EIF2S1"	4	0.0015291	0.0055263	0.463444	211	2	-0.22864	0.60689	0.60665	1	10048	1	-0.22864
"212"	"FBXO18"	4	0.0015345	0.0055444	0.463444	212	4	-0.22947	0.99847	0.99849	1	17938	0	-0.22947
"213"	"GIT1"	4	0.0015528	0.0056053	0.466373	213	1	0.020947	0.65971	0.65905	1	11035	0	0.020947
"214"	"TRAPPC1"	4	0.0015729	0.0056804	0.470456	214	3	-0.87196	0.41328	0.44838	1	7116	1	-0.87196
"215"	"KDELC2"	4	0.001582	0.0057073	0.470523	215	4	-0.43808	0.99842	0.99844	1	17937	0	-0.43808
